"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"4303","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP225/2025-2026/249984","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","06-Feb-2026","CONST OF ROAD FROM NO1 BHATNAPAITY ME SCHOOL TO ABDUL BATEN AHMED HOUSE CHENGA","Payment Success","1500000"
"4304","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP073/2025-2026/254948","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","06-Feb-2026","CON RD FRM BD HOU TO DD HOU AT PTRTI BTA","Payment Success","660000"
"4305","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP073/2025-2026/254948","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","25-Jun-2026","CON RD FRM BD HOU TO DD HOU AT PTRTI BTA","Payment Success","440000"
"4306","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP073/2025-2026/243476","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","06-Feb-2026","CON OF RD FRM BP LD RD TO SHV MDR AT BDI","Payment Success","900000"
"4307","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP073/2025-2026/243476","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","13-Mar-2026","CON OF RD FRM BP LD RD TO SHV MDR AT BDI","Payment Success","600000"
"4308","Assam","Construction of culverts and bridges","WS/MP831/2025-2026/141891","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","14-Jul-2026","Nepal Basumatary","Payment Success","250000"
"4309","Assam","Construction of culverts and bridges","WS/MP831/2025-2026/141891","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","03-Feb-2026","Nepal Basumatary","Payment Success","750000"
"4310","Assam","Construction of culverts and bridges","WS/MP831/2025-2026/137440","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","04-Feb-2026","Pinnai Basumatary","Payment Success","525000"
"4311","Assam","Construction of culverts and bridges","WS/MP831/2025-2026/137440","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","27-Jul-2026","Pinnai Basumatary","Payment Success","175000"
"4312","Punjab","Construction of community centers and community halls","WS/MP235/2026-2027/299131","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","06-Aug-2026","Shree Hargobind Sahib Entt Udyog","Payment Success","39200"
"4313","Punjab","Construction of community centers and community halls","WS/MP235/2026-2027/299131","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","06-Aug-2026","Shree Hargobind Sahib Entt Udyog","Payment Success","39200"
"4314","Punjab","Construction of community centers and community halls","WS/MP235/2026-2027/299131","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","06-Aug-2026","Shree Hargobind Sahib Entt Udyog","Payment Success","39200"
"4315","Punjab","Construction of community centers and community halls","WS/MP235/2026-2027/299131","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","06-Aug-2026","Shree Hargobind Sahib Entt Udyog","Payment Success","39200"
"4316","Punjab","Construction of culverts and bridges","WS/MP235/2026-2027/277172","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-May-2026","Shree Hargobind Sahib Entt Udyog","Payment Success","43400"
"4317","Punjab","Construction of culverts and bridges","WS/MP235/2026-2027/277172","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-May-2026","Shree Hargobind Sahib Entt Udyog","Payment Success","43400"
"4318","Punjab","Construction of culverts and bridges","WS/MP235/2026-2027/277172","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-May-2026","Shree Hargobind Sahib Entt Udyog","Payment Success","37200"
"4319","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/268750","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","Pritpal Singh","Payment Success","144857"
"4320","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/268750","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","Pritpal Singh","Payment Success","8778"
"4321","Punjab","Development of public parks","WS/MP235/2025-2026/268746","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","19-Mar-2026","Pritpal Singh","Payment Success","175000"
"4322","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/268749","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","Pritpal Singh","Payment Success","144857"
"4323","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/268749","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","Pritpal Singh","Payment Success","4723"
"4324","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP131/2025-2026/195650","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","03-Feb-2026","ANUSAYA ACHARYA","Payment Success","400000"
"4325","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP131/2025-2026/195651","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","20-Aug-2026","ANUSAYA ACHARYA","Payment Success","300000"
"4326","Bihar","Construction of common work sheds/ common covered sitting area","WS/MP18300/2025-2026/172320","BANKA(DISTRICT PLANNING OFFICER BANKA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","08-Feb-2026","ASSISTANT ENGINEER ASSEMBLY KATORIYA LAEO WD BANKA","Payment Success","199358"
"4327","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Avon Bricks Industry","Payment Success","48600"
"4328","Punjab","Construction of community centers and community halls","WS/MP235/2026-2027/299131","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","06-Aug-2026","Sandhu brothers BKO","Payment Success","47040"
"4329","Punjab","Construction of community centers and community halls","WS/MP235/2026-2027/299131","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","06-Aug-2026","Sandhu brothers BKO","Payment Success","47040"
"4330","Chandigarh","Providing drains and gutters for public drainage","WS/MP18365/2025-2026/191964","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","04-Feb-2026","Sandhu brothers BKO","Payment Success","46500"
"4331","Chandigarh","Providing drains and gutters for public drainage","WS/MP18365/2025-2026/191964","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","04-Feb-2026","Sandhu brothers BKO","Payment Success","46500"
"4332","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP113/2025-2026/184497","Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA)","Shri Imran Pratapgarhi (2022-28) (2022-2028)","Elected MP","24-Feb-2026","QUADRI SOHEL ALMA KHAMAR ALAM","Payment Success","999000"
"4333","Karnataka","Construction of community centers and community halls","WS/MP086/2025-2026/172338","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","24-Mar-2026","Sujay kumar","Payment Success","375000"
"4334","Karnataka","Construction of community centers and community halls","WS/MP086/2025-2026/172338","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","17-Aug-2026","Sujay kumar","Payment Success","123551"
"4335","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/186819","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","27-Feb-2026","UK ENTERPRISES","Payment Success","984938"
"4336","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18297/2025-2026/249490","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","06-Feb-2026","Gp Tumrawda","Payment Success","300000"
"4337","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18297/2025-2026/249490","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","12-Jun-2026","Gp Tumrawda","Payment Success","200000"
"4338","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18297/2025-2026/249488","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","06-Feb-2026","Gp Lasudiya Bajar","Payment Success","300000"
"4339","Chhattisgarh","Patrolling Vehicles to government institution for Public Conveniences, Safety and Security","WS/MP18340/2025-2026/239128","RAIGARH(DISTRICT COLLECTOR RAIGARH_IDA)","Shri Devendra Pratap Singh (2024-30) (2024-2030)","Elected MP","10-Apr-2026","Punit Kumar Agrawal","Payment Success","1599700"
"4340","Andhra Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP18319/2025-2026/236052","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri Golla Baburao (2024-30) (2024-2030)","Elected MP","09-Feb-2026","SEERAM RAJESH","Payment Success","323401"
"4341","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP148/2025-2026/234961","GANGANAGAR(Zilla GANGANAGAR)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","13-Feb-2026","J AND D CONTRACTORS","Payment Success","400000"
"4342","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP092/2025-2026/259247","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Smt. Nirmala Sitharaman (2022-28) (2022-2028)","Elected MP","23-Jan-2026","NABARD","Payment Success","3750000"
"4343","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP092/2025-2026/164734","YADGIR(Deputy Commsioner Yadgir_ida)","Smt. Nirmala Sitharaman (2022-28) (2022-2028)","Elected MP","08-Jan-2026","NABARD","Payment Success","5000000"
"4344","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP092/2025-2026/164733","KALABURAGI(DEPUTY COMMISSIONER GULBARGA_IDA)","Smt. Nirmala Sitharaman (2022-28) (2022-2028)","Elected MP","08-Jan-2026","NABARD","Payment Success","4823000"
"4345","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP092/2025-2026/164729","RAICHUR(DEPUTY COMMISSIONER RAICHUR_IDA)","Smt. Nirmala Sitharaman (2022-28) (2022-2028)","Elected MP","08-Jan-2026","NABARD","Payment Success","4786000"
"4346","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP092/2025-2026/164735","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Smt. Nirmala Sitharaman (2022-28) (2022-2028)","Elected MP","08-Jan-2026","NABARD","Payment Success","4999660"
"4347","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP092/2025-2026/164730","KOPPAL(DEPUTY COMMISSIONER KOPPAL_IDA)","Smt. Nirmala Sitharaman (2022-28) (2022-2028)","Elected MP","19-Feb-2026","NABARD","Payment Success","4886000"
"4348","Maharashtra","Construction of buildings for community cultural activities","WS/MP112/2025-2026/137643","SANGLI(DISTRICT COLLECTOR SANGLI_IDA)","Shri Dhananjay Bhimrao Mahadik (2022-28) (2022-2028)","Elected MP","29-Jan-2026","ABHIJEET BAJIRAO JADHAV","Payment Success","2392730"
"4349","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2025-2026/195814","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","02-Sep-2026","GP Tattapani","Payment Success","80000"
"4350","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2025-2026/195814","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","07-Jan-2026","GP Tattapani","Payment Success","120000"
"4351","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18316/2025-2026/248599","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","08-Jan-2026","Sachiv gram panchayat Mohari","Payment Success","100000"
"4352","Madhya Pradesh","Construction of community centers and community halls","WS/MP106/2024-2025/145085","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","07-Apr-2026","INDRADEO NANDU BARDE","Payment Success","2400"
"4353","Madhya Pradesh","Construction of community centers and community halls","WS/MP106/2024-2025/145085","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","07-Apr-2026","INDRADEO NANDU BARDE","Payment Success","2000"
"4354","Madhya Pradesh","Construction of community centers and community halls","WS/MP106/2024-2025/145085","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","07-Apr-2026","INDRADEO NANDU BARDE","Payment Success","2400"
"4355","Madhya Pradesh","Construction of community centers and community halls","WS/MP106/2024-2025/145085","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","07-Apr-2026","INDRADEO NANDU BARDE","Payment Success","2400"
"4356","Madhya Pradesh","Construction of community centers and community halls","WS/MP106/2024-2025/145085","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","07-Apr-2026","INDRADEO NANDU BARDE","Payment Success","2400"
"4357","Madhya Pradesh","Construction of community centers and community halls","WS/MP106/2024-2025/145085","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","07-Apr-2026","MALTA INDRADEV BARDE","Payment Success","1566"
"4358","Madhya Pradesh","Construction of community centers and community halls","WS/MP106/2024-2025/145085","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","07-Apr-2026","MALTA INDRADEV BARDE","Payment Success","1566"
"4359","Madhya Pradesh","Construction of community centers and community halls","WS/MP106/2024-2025/145085","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","07-Apr-2026","MALTA INDRADEV BARDE","Payment Success","1305"
"4360","Madhya Pradesh","Construction of community centers and community halls","WS/MP106/2024-2025/145085","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","07-Apr-2026","MALTA INDRADEV BARDE","Payment Success","1566"
"4361","Madhya Pradesh","Construction of community centers and community halls","WS/MP106/2024-2025/145085","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","07-Apr-2026","MALTA INDRADEV BARDE","Payment Success","1566"
"4362","Madhya Pradesh","Construction of community centers and community halls","WS/MP106/2024-2025/145085","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","07-Apr-2026","POONAM BARDE","Payment Success","1305"
"4363","Madhya Pradesh","Construction of community centers and community halls","WS/MP106/2024-2025/145085","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","07-Apr-2026","POONAM BARDE","Payment Success","1566"
"4364","Madhya Pradesh","Construction of community centers and community halls","WS/MP106/2024-2025/145085","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","07-Apr-2026","POONAM BARDE","Payment Success","1305"
