"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"10847","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18429/2025-2026/242067","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Ravindra Vasantrao Chavan","NANDED","07-Apr-2026","GRAM PANCHAYAT KARYALAYA MANGNALI","Payment Success","495000"
"10848","Odisha","Construction of community centers and community halls","WS/MP18358/2025-2026/188076","GANJAM(DISTRICT COLLECTOR GANJAM_IDA)","ANITA SUBHADARSHINI","ASKA","23-Mar-2026","PARDIP KUMAR","Payment Success","300000"
"10849","Rajasthan","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18166/2025-2026/248133","SIROHI(DISTRICT COLLECTOR SIROHI_IDA)","LUMBARAM","JALORE","24-Mar-2026","Amrit E Moters","Payment Success","98499"
"10850","Rajasthan","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18166/2025-2026/248131","SIROHI(DISTRICT COLLECTOR SIROHI_IDA)","LUMBARAM","JALORE","24-Mar-2026","Amrit E Moters","Payment Success","98499"
"10851","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/191105","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","11-May-2026","DAL SINGH","Payment Success","2400"
"10852","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/191105","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","11-May-2026","DAL SINGH","Payment Success","28700"
"10853","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/191105","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","11-May-2026","DAL SINGH","Payment Success","4500"
"10854","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/191105","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","11-May-2026","DAL SINGH","Payment Success","27100"
"10855","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/191105","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","11-May-2026","DAL SINGH","Payment Success","5573"
"10856","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/191105","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","11-May-2026","DAL SINGH","Payment Success","28700"
"10857","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/191105","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","11-May-2026","DAL SINGH","Payment Success","17100"
"10858","Punjab","Construction of rooms and halls in school and colleges","WS/MP18311/2025-2026/259393","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","16-Apr-2026","SADANAND","Payment Success","42600"
"10859","Punjab","Construction of rooms and halls in school and colleges","WS/MP18311/2025-2026/259393","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","16-Apr-2026","SADANAND","Payment Success","46800"
"10860","Punjab","Construction of rooms and halls in school and colleges","WS/MP18311/2025-2026/259393","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","16-Apr-2026","SADANAND","Payment Success","6600"
"10861","Punjab","Construction of rooms and halls in school and colleges","WS/MP18311/2025-2026/259393","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","16-Apr-2026","SADANAND","Payment Success","20800"
"10862","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/191105","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","11-May-2026","RAJINDER SINGH","Payment Success","3500"
"10863","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/191105","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","11-May-2026","NASIB SINGH","Payment Success","2000"
"10864","Punjab","Construction of rooms and halls in school and colleges","WS/MP18311/2025-2026/259393","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","16-Apr-2026","Shahi Brothers","Payment Success","30528"
"10865","Punjab","Construction of rooms and halls in school and colleges","WS/MP18311/2025-2026/259393","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","16-Apr-2026","Shahi Brothers","Payment Success","30528"
"10866","Himachal Pradesh","Setting up crops conservation facilities","WS/MP18328/2025-2026/252806","Lahaul And Spiti(DEPUTY COMMISSIONER L and S_IDA)","Kangana Ranaut","MANDI","24-Mar-2026","GP SHANSHA","Payment Success","700000"
"10867","Punjab","Construction of rooms and halls in school and colleges","WS/MP18311/2025-2026/259393","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","16-Apr-2026","SINGLA Cement Building Material Store","Payment Success","14000"
"10868","Punjab","Construction of rooms and halls in school and colleges","WS/MP18311/2025-2026/259393","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","16-Apr-2026","SINGLA Cement Building Material Store","Payment Success","15550"
"10869","Punjab","Construction of rooms and halls in school and colleges","WS/MP18311/2025-2026/259393","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","16-Apr-2026","SINGLA Cement Building Material Store","Payment Success","23400"
"10870","Punjab","Construction of rooms and halls in school and colleges","WS/MP18311/2025-2026/259393","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","16-Apr-2026","SINGLA Cement Building Material Store","Payment Success","42480"
"10871","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/191105","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","11-May-2026","JATINDER KUMAR","Payment Success","4000"
"10872","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/191105","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","11-May-2026","DAVINDER SINGH","Payment Success","3000"
"10873","Punjab","Construction of rooms and halls in school and colleges","WS/MP18311/2025-2026/259393","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","16-Apr-2026","JK Hardware Cement Store","Payment Success","29430"
"10874","Punjab","Construction of rooms and halls in school and colleges","WS/MP18311/2025-2026/259393","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","16-Apr-2026","JK Hardware Cement Store","Payment Success","41301"
"10875","Punjab","Construction of rooms and halls in school and colleges","WS/MP18311/2025-2026/259393","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","16-Apr-2026","JK Hardware Cement Store","Payment Success","24412"
"10876","Punjab","Construction of rooms and halls in school and colleges","WS/MP18311/2025-2026/259393","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","16-Apr-2026","JK Hardware Cement Store","Payment Success","39154"
"10877","Punjab","Construction of rooms and halls in school and colleges","WS/MP18311/2025-2026/259393","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","16-Apr-2026","JK Hardware Cement Store","Payment Success","12800"
"10878","Himachal Pradesh","Construction of culverts and bridges","WS/MP18328/2025-2026/252810","Lahaul And Spiti(DEPUTY COMMISSIONER L and S_IDA)","Kangana Ranaut","MANDI","24-Mar-2026","GP Khangsar","Payment Success","500000"
"10879","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/191105","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","11-May-2026","DEEPAK GUPTA","Payment Success","4000"
"10880","Himachal Pradesh","Construction of public irrigation facilities","WS/MP18328/2025-2026/252811","Lahaul And Spiti(DEPUTY COMMISSIONER L and S_IDA)","Kangana Ranaut","MANDI","24-Mar-2026","GP WARPA","Payment Success","398292"
"10881","Telangana","Installing tube-wells and borewells","WS/MP770/2025-2026/187868","SIDDIPET(District Collector Siddipet_IDA)","Sanjay Kumar Bandi","KARIMNAGAR","20-Mar-2026","Sandanboina Kumaraswami","Payment Success","199847"
"10882","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/191105","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","11-May-2026","ATUL PLYWOOD AND GLASS HOUSE","Payment Success","24544"
"10883","Himachal Pradesh","Construction of community centers and community halls","WS/MP18328/2025-2026/252807","Lahaul And Spiti(DEPUTY COMMISSIONER L and S_IDA)","Kangana Ranaut","MANDI","24-Mar-2026","GP KEYLONG","Payment Success","500000"
"10884","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/191105","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","11-May-2026","JAGROOP SINGH","Payment Success","5000"
"10885","Himachal Pradesh","Construction of community centers and community halls","WS/MP18328/2025-2026/252808","Lahaul And Spiti(DEPUTY COMMISSIONER L and S_IDA)","Kangana Ranaut","MANDI","24-Mar-2026","GP BAOBOG","Payment Success","350000"
"10886","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251136","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","20-Mar-2026","ABDUL VAHID","Payment Success","6000"
"10887","Himachal Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18328/2025-2026/252803","Lahaul And Spiti(DEPUTY COMMISSIONER L and S_IDA)","Kangana Ranaut","MANDI","24-Mar-2026","GP GOUSHAL","Payment Success","200000"
"10888","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251136","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","20-Mar-2026","PRAHLAD JANGID","Payment Success","3990"
"10889","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251136","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","20-Mar-2026","MANJU JANGID","Payment Success","3990"
"10890","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251136","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","20-Mar-2026","ISMAIL","Payment Success","3990"
"10891","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251136","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","20-Mar-2026","MUNNI","Payment Success","3990"
"10892","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251136","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","20-Mar-2026","RUBI","Payment Success","3990"
"10893","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251136","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","20-Mar-2026","IRFAN AHAMAD","Payment Success","3990"
"10894","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251136","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","20-Mar-2026","SADDAM HUSSAIN","Payment Success","3990"
"10895","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251136","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","20-Mar-2026","RAMRATAN","Payment Success","3990"
"10896","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251136","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","20-Mar-2026","PREM BAI","Payment Success","3990"
"10897","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251136","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","20-Mar-2026","NARENDER KUMAR","Payment Success","3990"
"10898","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251136","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","20-Mar-2026","RUBINA BANO","Payment Success","3990"
"10899","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251136","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","20-Mar-2026","INDARJEET JANGID","Payment Success","3990"
"10900","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251136","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","20-Mar-2026","Shoyeb Akhtar","Payment Success","5250"
"10901","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251136","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","20-Mar-2026","Aslam Mohammad","Payment Success","3990"
"10902","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251136","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","20-Mar-2026","AJAY OAD","Payment Success","3990"
"10903","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251136","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","20-Mar-2026","LEKHRAJ GURJAR","Payment Success","3990"
"10904","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251136","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","20-Mar-2026","HARI KANWAR","Payment Success","3990"
"10905","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251136","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","20-Mar-2026","AABID HUSAIN","Payment Success","3135"
"10906","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251136","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","20-Mar-2026","HASAN MANSURI","Payment Success","3135"
"10907","Himachal Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18328/2025-2026/252809","Lahaul And Spiti(DEPUTY COMMISSIONER L and S_IDA)","Kangana Ranaut","MANDI","01-Apr-2026","GP DARCHA","Payment Success","300000"
"10908","Rajasthan","Improvement of electricity distribution infrastructure","WS/MP18166/2025-2026/261376","SIROHI(DISTRICT COLLECTOR SIROHI_IDA)","LUMBARAM","JALORE","24-Mar-2026","AEN O and M JDVVNL PINDWARA","Payment Success","361234"
"10909","Rajasthan","Improvement of electricity distribution infrastructure","WS/MP18166/2025-2026/261375","SIROHI(DISTRICT COLLECTOR SIROHI_IDA)","LUMBARAM","JALORE","24-Mar-2026","AEN O and M JDVVNL PINDWARA","Payment Success","243197"
"10910","Rajasthan","Improvement of electricity distribution infrastructure","WS/MP18166/2025-2026/261372","SIROHI(DISTRICT COLLECTOR SIROHI_IDA)","LUMBARAM","JALORE","24-Mar-2026","AEN O and M JDVVNL PINDWARA","Payment Success","278585"
"10911","Meghalaya","Construction of rooms and halls in school and colleges","WS/MP18137/2025-2026/233807","EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)","ANDREW J. SYNGKON","SHILLONG","15-May-2026","ST PETER AND UP PRIMARY SCHOOL MAWPAT","Payment Success","250000"
"10912","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP650/2025-2026/270879","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shankar Lalwani","INDORE","24-Mar-2026","NARMDA CONTRACTION","Payment Success","99960"
"10913","Uttarakhand","Construction of toilet blocks","WS/MP021/2025-2026/210942","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","28-Mar-2026","mahesh chandra arya","Payment Success","11375"
"10914","Uttarakhand","Construction of toilet blocks","WS/MP021/2025-2026/210942","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","29-May-2026","mahesh chandra arya","Payment Success","15925"
"10915","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP650/2025-2026/270879","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shankar Lalwani","INDORE","24-Mar-2026","TIYA ENTERPRISES","Payment Success","200000"
"10916","Uttarakhand","Construction of toilet blocks","WS/MP021/2025-2026/210942","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","29-May-2026","Prakash Chandra","Payment Success","15925"
"10917","Uttarakhand","Construction of toilet blocks","WS/MP021/2025-2026/210942","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","28-Mar-2026","Prakash Chandra","Payment Success","11375"
